,Merge,Address,Average_price_PANDA,Average_price_UBER,Cuisine_PANDA,Cuisine_UBER,Cuisine_single_PANDA,Cuisine_single_UBER,Delivery_PANDA,Delivery_UBER,Dollar_signs,Exclusivity,Food_type,Name_PANDA,Name_UBER,Promotion,Ratings_PANDA,Ratings_UBER,Reviews_PANDA,Reviews_UBER
100,kane tsuru ramen,"16 Shell St, Shop E, G/F, , Eastern District, Hong Kong SAR 0000
 • 
More info",84.16623376623377,170.0,"['Noodles', 'Japanese', 'Carousel Deals']",['Japanese'],Noodles,Japanese,HK$ 12 delivery fee,,1.0,0,$ • Japanese,kane tsuru ramen (fortress hill),金鶴拉麵 kane tsuru ramen (蜆殼街),20% off $100,4.2/5,,223.0,
101,wagyu 88,"Hong Kong, Causeway Bay, Tang Lung St, 13/F Circle Tower 28, 13/F, , Hong Kong Island
 • 
More info",120.475,417.0,"['Japanese', 'Limited Offers', 'Dine-in Price', 'Carousel Deals']",['Japanese'],Japanese,Japanese,HK$ 20 delivery fee,,2.0,0,$$ • Japanese,wagyu 88,wagyu 88,10% off $80,4.5/5,,71.0,
102,th & tw cuisine,"Hang Po Building, 6-8號 Mercury St, Fortress Hill, Hong Kong, Shop A, G/F, ,
 • 
More info",77.34782608695652,87.0,"['Noodles', 'Thai', 'Soup', 'Dine-in Price']",['Thai'],Noodles,Thai,HK$ 12 delivery fee,,2.0,0,$$ • Thai,th & tw cuisine,泰色食 th & tw cuisine,,4.1/5,4.5,40.0,(10)
103,home feel,"Hong Kong, Causeway Bay, Jaffe Rd, 460-462號楊耀熾號大廈地下, G/F, ,
 • 
More info",81.8433734939759,64.0,['Hong Kong'],"['Cantonese', 'Family friendly']",Hong Kong,Cantonese,HK$ 20 delivery fee,,1.0,0,"$ • Cantonese
 • 
Family friendly",home feel (causeway bay),住家菜 home feel (銅鑼灣 causeway bay),,4.5/5,4.8,230.0,(100+)
104,old beijing,"Jardine Center, 50 Jardine'S Bazaar, Causeway Bay, Hong Kong, 5/F,
 • 
More info",100.00459770114942,125.0,"['Chinese', 'Carousel Deals']","['Chinese', 'Allergy friendly']",Chinese,Chinese,HK$ 20 delivery fee,,2.0,0,"$$ • Chinese
 • 
Allergy friendly",old beijing (causeway bay),老北京 old beijing (銅鑼灣 causeway bay),20% off $100,4.3/5,4.2,603.0,(10)
105,the graces restaurant,"Lee Theatre Plaza, 99 Percival Street, Causeway Bay, 20/F, , Hong Kong, Hong Kong 0
 • 
More info",113.11627906976744,40.0,"['Chinese', 'Soup']",['Cantonese'],Chinese,Cantonese,HK$ 20 delivery fee,,3.0,0,$$$ • Cantonese,the graces restaurant (cwb),玉桃軒酒家 the graces restaurant (causeway bay),,4.5/5,,,
106,clay pot indian restaurant,"Hong Kong, North Point, 北角電氣道229號電氣道市政大廈2樓cf5號舖,
 • 
More info",68.1111111111111,91.0,"['Seafood', 'Indian']",['Indian'],Seafood,Indian,HK$ 17 delivery fee,,2.0,0,$$ • Indian,clay pot indian restaurant,clay pot indian restaurant 烤爐印度餐廳,,4.4/5,,207.0,
107,tian tian hainanese chicken rice,"9 Kingston St, Shop H2, G/F, Fashion Walk,
 • 
More info",82.7,369.0,"['Singaporean', 'Cashback', 'Dine-in Price', 'Carousel Deals']",['South East Asian'],Singaporean,South East Asian,HK$ 20 delivery fee,,2.0,0,$$ • South East Asian,tian tian hainanese chicken rice (causeway bay),天天海南雞飯 tian tian hainanese chicken rice (銅鑼灣 causeway bay),20% off $100,4.2/5,4.4,338.0,(11)
108,shun hing,"5 Ormsby St, Tai Hang, Hong Kong, G/F, ,
 • 
More info",30.6,18.0,"['Sandwich', 'Chinese', 'Carousel Deals']",['Cantonese'],Sandwich,Cantonese,HK$ 17 delivery fee,,2.0,0,$$ • Cantonese,shun hing (tai hang) restaurant,順興茶餐廳 shun hing (tai hang) restaurant,10% off $80,4.6/5,,389.0,
109,mirch masala indian restaurant,"7/F, Island Beverley,, 1 Great George St, Causeway Bay, Hong Kong,
 • 
More info",94.125,99.0,"['Indian', 'Curry', 'Dine-in Price']",['Indian'],Indian,Indian,HK$ 20 delivery fee,,2.0,0,$$ • Indian,mirch masala indian restaurant (causeway bay),mirch masala indian restaurant 印度美食風味屋,,3.8/5,,171.0,
110,elementary,"15 School St, Tai Hang, Hong Kong, G/F, ,
 • 
More info",178.08860759493672,145.0,"['European', 'Pasta', 'Favourites by foodpanda', 'Dine-in Price']",['Western'],European,Western,HK$ 17 delivery fee,,2.0,0,$$ • Western,elementary,elementary,,4.6/5,,100.0,
